City,AQI,PM2.5/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,57,17,26,0.3,6,72,107,6
阿克苏地区,83,11,27,0.7,14,120,138,4
阿拉善盟,104,41,155,0.3,5,130,132,7
阿勒泰地区,0,0,0,0.0,0,0,0,0
阿里地区,71,8,24,0.5,7,122,124,8
安康,42,22,41,0.53,22,16,15,6
安庆,50,33,49,0.64,14,79,92,5
鞍山,47,19,31,0.7,9,77,93,7
安顺,54,37,53,0.73,10,86,101,8
安阳,100,43,103,1.26,22,107,159,6
白城,57,25,62,0.2,34,53,88,8
百色,55,30,49,0.65,12,93,104,9
白山,49,20,31,0.65,5,81,96,10
白银,73,42,93,0.45,24,92,99,4
保定,111,43,132,0.84,35,139,171,15
宝鸡,56,31,59,0.59,46,45,60,5
保山,78,24,44,0.45,9,124,132,5
包头,136,88,219,0.58,39,82,103,8
巴彦淖尔,166,98,280,0.7,18,102,105,5
巴中,47,29,46,0.63,25,39,62,3
北海,39,12,37,0.53,9,63,77,6
北京,108,43,124,0.57,32,136,167,5
蚌埠,53,30,53,0.48,21,64,97,12
本溪,39,18,24,0.82,15,73,77,13
毕节,51,20,27,0.55,10,71,100,4
滨州,97,20,61,0.9,27,81,155,8
博州,45,7,22,0.4,19,83,89,5
亳州,74,30,44,0.65,11,109,127,5
沧州,111,83,119,0.9,29,119,157,22
长春,78,57,93,0.68,14,111,124,4
常德,46,32,43,1.16,36,22,47,5
昌都,75,12,43,0.3,5,129,128,0
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,28,12,26,0.6,33,38,55,7
长沙,30,20,29,0.95,40,17,21,4
常熟,61,36,69,0.97,70,18,37,11
长治,91,39,110,0.88,13,146,148,8
常州,50,32,49,0.73,49,47,47,10
朝阳,125,94,133,1.13,15,178,160,13
潮州,47,21,46,0.93,10,41,73,7
承德,103,43,133,0.92,22,203,156,10
成都,70,34,88,0.7,48,78,121,5
郴州,55,22,58,0.93,35,14,58,8
赤峰,111,39,169,0.4,12,135,120,9
池州,81,59,72,0.97,27,95,121,8
重庆,58,38,64,0.91,40,48,80,7
崇左,50,28,48,0.55,8,97,99,2
楚雄州,81,19,43,0.55,8,127,135,11
滁州,56,39,59,0.68,29,78,81,9
大连,50,20,34,0.4,18,103,99,8
大理州,73,22,61,0.65,9,119,126,4
丹东,48,33,43,0.73,13,91,93,13
大庆,72,24,92,0.38,23,57,82,6
大同,75,27,97,0.57,24,101,117,18
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,30,17,0,0.35,6,50,58,7
达州,40,20,39,0.52,29,29,31,9
德宏州,66,24,64,0.8,17,93,118,8
德阳,57,28,61,0.57,21,64,104,4
德州,119,68,113,0.57,19,144,179,5
定西,70,29,66,0.25,9,98,122,4
迪庆州,69,12,32,0.5,8,107,121,7
东莞,42,25,41,0.7,29,37,77,9
东营,62,16,59,0.38,16,63,113,9
鄂尔多斯,156,93,259,0.5,14,123,117,7
恩施州,47,16,46,0.95,38,8,18,3
鄂州,63,44,74,1.23,38,50,74,5
防城港,32,22,28,0.7,6,50,56,4
佛山,40,17,39,0.6,24,42,76,5
抚顺,49,15,30,0.48,12,84,96,22
阜新,130,36,207,0.74,8,161,158,10
阜阳,76,43,53,0.77,36,91,129,3
富阳,0,0,0,0.0,0,0,0,0
福州,25,12,24,0.78,31,28,37,4
抚州,45,31,44,1.6,8,62,66,5
